idConVat,viDo,kinhDo,trangThaiHanhVi,ODBA,tyLeNangLuong,heSoK,banKinhGeofence,loaiVung,phanTramGiaoThoa,mucDoNguyCoKhongGian
001-LonRung-CT,11.435684,107.442002,BINH_THUONG,0.0,0.0,1.0,0.002,KhuDanCu,78.5398165380388,CANHBAO
001-LonRung-CT,11.435689,107.442007,BINH_THUONG,0.019999999999999907,0.012820512820512761,1.0,0.0020599999999999998,KhuDanCu,78.53981602211435,CANHBAO
001-LonRung-CT,11.435694,107.442012,DINH_BAY,0.019999999999999907,0.025641025641025522,4.0,0.002239999999999999,KhuDanCu,78.53981606966781,CANHBAO
001-LonRung-CT,11.435699,107.442017,DINH_BAY,0.013333333333333308,0.02564102564102559,4.0,0.0021599999999999996,KhuDanCu,78.53981558267859,CANHBAO
001-LonRung-CT,11.435704,107.442022,DINH_BAY,0.010000000000000023,0.0256410256410257,4.0,0.0021200000000000004,KhuDanCu,78.53981729138863,CANHBAO
001-LonRung-CT,11.435709,107.442027,DINH_BAY,0.008000000000000052,0.025641025641025807,4.0,0.0020960000000000006,KhuDanCu,78.53981553216043,CANHBAO
001-LonRung-CT,11.435714,107.442032,DINH_BAY,0.010000000000000028,0.03846153846153857,4.0,0.0021200000000000004,KhuDanCu,78.53981629804764,CANHBAO
001-LonRung-CT,11.435719,107.442037,DINH_BAY,0.00857142857142861,0.03846153846153864,4.0,0.0021028571428571433,KhuDanCu,78.53981563109413,CANHBAO
001-LonRung-BD,11.445166,107.45024,BINH_THUONG,1.1102230246251565E-16,7.11681426041767E-17,1.0,0.0020000000000000005,KHONG_GIAO_THOA,0.0,ANTOAN
001-LonRung-BD,11.431,107.43724,BINH_THUONG,5.551115123125783E-17,7.11681426041767E-17,1.0,0.002,KhuDanCu,56.90385945366029,CANHBAO
001-LonRung-BD,11.435956,107.4425,SUY_KIET,7.401486830834377E-17,1.423362852083534E-16,4.0,0.002000000000000001,KhuDanCu,78.53981653803888,CANHBAO
001-LonRung-BD,11.422463,107.428921,SUY_KIET,9.71445146547012E-17,2.4908849911461846E-16,4.0,0.0020000000000000013,TuyenDuongDuLich,78.53981542192099,CANHBAO
001-LonRung-BD,11.4476,107.457114,SUY_KIET,0.019999999999999907,0.01282051282051301,4.0,0.002239999999999999,TramQuanSat,29.464502069655087,TIENCANHBAO
001-LonRung-DN,11.445809,107.449898,BINH_THUONG,1.1102230246251565E-16,7.11681426041767E-17,1.0,0.0020000000000000005,KHONG_GIAO_THOA,0.0,ANTOAN
001-LonRung-DN,11.430406,107.4377,BINH_THUONG,1.1102230246251565E-16,1.423362852083534E-16,1.0,0.0020000000000000005,KhuDanCu,52.76655648868523,CANHBAO
001-LonRung-DN,11.435836,107.442243,SUY_KIET,1.295260195396016E-16,2.4908849911461846E-16,4.0,0.0020000000000000018,KhuDanCu,78.53981653803895,CANHBAO
001-LonRung-DN,11.422179,107.428719,SUY_KIET,1.3877787807814457E-16,3.5584071302088347E-16,4.0,0.0020000000000000018,TuyenDuongDuLich,78.53981653803895,CANHBAO
001-LonRung-DN,11.447766,107.45691,SUY_KIET,0.019999999999999907,0.012820512820513117,4.0,0.002239999999999999,TramQuanSat,30.74068016755508,TIENCANHBAO
001-LonRung-DL,11.445562,107.450011,BINH_THUONG,1.6653345369377348E-16,1.0675221390626504E-16,1.0,0.0020000000000000005,KHONG_GIAO_THOA,0.0,ANTOAN
001-LonRung-DL,11.430636,107.437543,BINH_THUONG,1.3877787807814457E-16,1.7792035651044174E-16,1.0,0.0020000000000000005,KhuDanCu,55.122327035043625,CANHBAO
001-LonRung-DL,11.436212,107.443111,SUY_KIET,0.006666666666666728,0.012820512820512938,4.0,0.0020800000000000007,KhuDanCu,78.53981603281387,CANHBAO
001-LonRung-DL,11.422935,107.429299,SUY_KIET,0.005000000000000074,0.01282051282051301,4.0,0.002060000000000001,TuyenDuongDuLich,78.53981602211445,CANHBAO
002-HuouVang-CT,11.44,107.44624,BINH_THUONG,1.6653345369377348E-16,1.0675221390626504E-16,1.0,0.0020000000000000005,KhuDanCu,76.28018767800215,CANHBAO
002-HuouVang-CT,11.4463,107.449574,BINH_THUONG,0.019999999999999907,0.012820512820512867,1.0,0.0020599999999999998,KHONG_GIAO_THOA,0.0,ANTOAN
002-HuouVang-CT,11.429962,107.438111,SUY_KIET,0.010000000000000037,0.012820512820512974,4.0,0.0021200000000000004,KhuDanCu,47.77459420170963,TIENCANHBAO
002-HuouVang-CT,11.43607,107.442794,SUY_KIET,0.006666666666666728,0.012820512820513046,4.0,0.0020800000000000007,KhuDanCu,78.53981603281387,CANHBAO
002-HuouVang-CT,11.422715,107.429102,SUY_KIET,0.010000000000000023,0.025641025641025807,4.0,0.0021200000000000004,TuyenDuongDuLich,78.53981629804764,CANHBAO
002-HuouVang-BD,11.447396,107.457324,BINH_THUONG,0.019999999999999907,0.012820512820512761,1.0,0.0020599999999999998,TramQuanSat,25.51643895199454,TIENCANHBAO
002-HuouVang-BD,11.446066,107.44975,BINH_THUONG,0.019999999999999907,0.025641025641025522,1.0,0.0020599999999999998,KHONG_GIAO_THOA,0.0,ANTOAN
002-HuouVang-BD,11.43017,107.437894,SUY_KIET,0.013333333333333308,0.02564102564102559,4.0,0.0021599999999999996,KhuDanCu,48.56555735247332,TIENCANHBAO
002-HuouVang-BD,11.436389,107.443418,SUY_KIET,0.010000000000000023,0.0256410256410257,4.0,0.0021200000000000004,KhuDanCu,78.53981629804764,CANHBAO
002-HuouVang-BD,11.423149,107.429533,SUY_KIET,0.00800000000000004,0.02564102564102577,4.0,0.0020960000000000006,TuyenDuongDuLich,78.5398165483799,CANHBAO
002-HuouVang-DN,11.439874,107.446042,BINH_THUONG,0.019999999999999907,0.012820512820512761,1.0,0.0020599999999999998,KhuDanCu,80.45577203625034,NGUYCAP
002-HuouVang-DN,11.446496,107.449404,BINH_THUONG,0.019999999999999907,0.025641025641025522,1.0,0.0020599999999999998,KHONG_GIAO_THOA,0.0,ANTOAN
002-HuouVang-DN,11.429789,107.438318,SUY_KIET,0.010000000000000009,0.02564102564102559,4.0,0.0021200000000000004,KhuDanCu,46.82704377742963,TIENCANHBAO
002-HuouVang-DN,11.43674,107.443934,SUY_KIET,0.013333333333333308,0.03846153846153835,4.0,0.0021599999999999996,KhuDanCu,78.53981558267859,CANHBAO
003-NaiRung-CT,11.423668,107.430037,BINH_THUONG,1.6653345369377348E-16,1.0675221390626504E-16,1.0,0.0020000000000000005,TuyenDuongDuLich,78.53981653803885,CANHBAO
003-NaiRung-CT,11.439526,107.44562,BINH_THUONG,1.3877787807814457E-16,1.7792035651044174E-16,1.0,0.0020000000000000005,KhuDanCu,95.33758812038869,NGUYCAP
003-NaiRung-CT,11.426714,107.432622,SUY_KIET,1.4802973661668753E-16,2.846725704167068E-16,4.0,0.0020000000000000018,TuyenDuongDuLich,70.50065898717469,CANHBAO
003-NaiRung-CT,11.42944,107.438634,SUY_KIET,0.019999999999999907,0.012820512820513046,4.0,0.002239999999999999,KhuDanCu,41.6692621307515,TIENCANHBAO
003-NaiRung-CT,11.436576,107.44369,SUY_KIET,0.010000000000000009,0.012820512820513117,4.0,0.0021200000000000004,KhuDanCu,78.53981729138863,CANHBAO
003-NaiRung-BD,11.423391,107.42979,BINH_THUONG,1.1102230246251565E-16,7.11681426041767E-17,1.0,0.0020000000000000005,TuyenDuongDuLich,78.53981653803885,CANHBAO
003-NaiRung-BD,11.439716,107.445823,BINH_THUONG,1.3877787807814457E-16,1.7792035651044174E-16,1.0,0.0020000000000000005,KhuDanCu,89.18505276842984,NGUYCAP
003-NaiRung-BD,11.4265,107.43284,SUY_KIET,1.4802973661668753E-16,2.846725704167068E-16,4.0,0.0020000000000000018,TuyenDuongDuLich,70.86797377947909,CANHBAO
003-NaiRung-BD,11.429626,107.43849,SUY_KIET,0.019999999999999907,0.012820512820513046,4.0,0.002239999999999999,KhuDanCu,44.16916551716541,TIENCANHBAO
003-NaiRung-BD,11.436866,107.444184,SUY_KIET,0.019999999999999907,0.025641025641025807,4.0,0.002239999999999999,KhuDanCu,78.53981695943018,CANHBAO
003-NaiRung-DL,11.423955,107.430249,BINH_THUONG,1.1102230246251565E-16,7.11681426041767E-17,1.0,0.0020000000000000005,TuyenDuongDuLich,78.53981765415679,CANHBAO
003-NaiRung-DL,11.43933,107.445454,BINH_THUONG,1.1102230246251565E-16,1.423362852083534E-16,1.0,0.0020000000000000005,KhuDanCu,99.97866043061128,NGUYCAP
003-NaiRung-DL,11.426896,107.432383,SUY_KIET,1.295260195396016E-16,2.4908849911461846E-16,4.0,0.0020000000000000018,TuyenDuongDuLich,70.63708690296531,CANHBAO
003-NaiRung-DL,11.429216,107.438784,SUY_KIET,0.019999999999999907,0.01282051282051301,4.0,0.002239999999999999,KhuDanCu,38.112176637828284,TIENCANHBAO
004-BoTot-CT,11.4535,107.45974,BINH_THUONG,1.6653345369377348E-16,1.0675221390626504E-16,1.0,0.0020000000000000005,TramQuanSat,78.53981765415679,CANHBAO
004-BoTot-CT,11.424219,107.430433,BINH_THUONG,0.019999999999999907,0.012820512820512867,1.0,0.0020599999999999998,TuyenDuongDuLich,78.53981707416254,CANHBAO
004-BoTot-CT,11.439162,107.445311,SUY_KIET,0.010000000000000009,0.012820512820512938,4.0,0.0021200000000000004,KhuDanCu,98.86154526070243,NGUYCAP
004-BoTot-CT,11.427046,107.43216,SUY_KIET,0.00666666666666671,0.01282051282051301,4.0,0.0020800000000000007,TuyenDuongDuLich,68.48561782634162,CANHBAO
004-BoTot-DN,11.453654,107.459882,BINH_THUONG,1.6653345369377348E-16,1.0675221390626504E-16,1.0,0.0020000000000000005,TramQuanSat,78.53981653803885,CANHBAO
004-BoTot-DN,11.424445,107.430623,BINH_THUONG,0.019999999999999907,0.012820512820512867,1.0,0.0020599999999999998,TuyenDuongDuLich,78.53981602211435,CANHBAO
004-BoTot-DN,11.439029,107.445158,SUY_KIET,0.019999999999999907,0.025641025641025626,4.0,0.002239999999999999,KhuDanCu,97.47819928089831,NGUYCAP
004-BoTot-DN,11.42719,107.431974,SUY_KIET,0.013333333333333308,0.0256410256410257,4.0,0.0021599999999999996,TuyenDuongDuLich,65.79445104691463,CANHBAO
005-SonDuong-CT,11.453776,107.460003,BINH_THUONG,1.1102230246251565E-16,7.11681426041767E-17,1.0,0.0020000000000000005,TramQuanSat,78.53981542192093,CANHBAO
005-SonDuong-CT,11.424657,107.430845,BINH_THUONG,0.019999999999999907,0.012820512820512832,1.0,0.0020599999999999998,TuyenDuongDuLich,78.53981602211435,CANHBAO
005-SonDuong-CT,11.438906,107.44497,SUY_KIET,0.019999999999999907,0.02564102564102559,4.0,0.002239999999999999,KhuDanCu,98.98790296044947,NGUYCAP
005-SonDuong-CT,11.427362,107.431811,SUY_KIET,0.013333333333333308,0.025641025641025664,4.0,0.0021599999999999996,TuyenDuongDuLich,64.06858971153888,CANHBAO
005-SonDuong-DL,11.453866,107.46014,BINH_THUONG,1.1102230246251565E-16,7.11681426041767E-17,1.0,0.0020000000000000005,TramQuanSat,78.53981765415679,CANHBAO
005-SonDuong-DL,11.449,107.45524,BINH_THUONG,5.551115123125783E-17,7.11681426041767E-17,1.0,0.002,TramQuanSat,27.181675522236347,TIENCANHBAO
005-SonDuong-DL,11.43876,107.444754,SUY_KIET,0.019999999999999907,0.012820512820512832,4.0,0.002239999999999999,KhuDanCu,98.4284393864661,NGUYCAP
005-SonDuong-DL,11.427569,107.431638,SUY_KIET,0.019999999999999907,0.02564102564102559,4.0,0.002239999999999999,TuyenDuongDuLich,59.625181753134186,CANHBAO
006-KhiDuoiLon-CT,11.454062,107.460511,BINH_THUONG,1.6653345369377348E-16,1.0675221390626504E-16,1.0,0.0020000000000000005,TramQuanSat,78.53981653803885,CANHBAO
006-KhiDuoiLon-CT,11.448676,107.455663,BINH_THUONG,1.3877787807814457E-16,1.7792035651044174E-16,1.0,0.0020000000000000005,TramQuanSat,29.534519525538677,TIENCANHBAO
006-KhiDuoiLon-BD,11.4445,107.45074,BINH_THUONG,1.6653345369377348E-16,1.0675221390626504E-16,1.0,0.0020000000000000005,KHONG_GIAO_THOA,0.0,ANTOAN
006-KhiDuoiLon-BD,11.42798,107.431194,BINH_THUONG,0.019999999999999907,0.012820512820512867,1.0,0.0020599999999999998,TuyenDuongDuLich,58.05094100790661,CANHBAO
007-MangLon-CT,11.45395,107.460314,BINH_THUONG,1.1102230246251565E-16,7.11681426041767E-17,1.0,0.0020000000000000005,TramQuanSat,78.53981653803885,CANHBAO
007-MangLon-CT,11.448854,107.455462,BINH_THUONG,0.010000000000000009,0.012820512820512832,1.0,0.00203,TramQuanSat,29.496036023649445,TIENCANHBAO
007-MangLon-CT,11.438576,107.444544,SUY_KIET,0.019999999999999907,0.02564102564102559,4.0,0.002239999999999999,KhuDanCu,90.83328300686158,NGUYCAP
007-MangLon-CT,11.427786,107.43143,SUY_KIET,0.010000000000000009,0.025641025641025664,4.0,0.0021200000000000004,TuyenDuongDuLich,59.36085664422802,CANHBAO
008-CheoCheo-DN,11.454209,107.460698,BINH_THUONG,0.019999999999999907,0.012820512820512761,1.0,0.0020599999999999998,TramQuanSat,78.53981602211435,CANHBAO
